"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","Classification","R","G","B","NIR"
460751.47,5262529.25,0,29821,4,4,2,29298,26471,25443,32179
460751.51,5262529.05,0.57,28638,2,2,0,29555,26728,25700,31772
460751.58,5262528.7,0.25,30116,3,3,0,32125,29812,30069,31211
460751.67,5262528.2,0,29045,3,3,2,23901,22102,24672,24783
460751.8,5262527.53,0.44,30093,3,3,0,13878,12593,17733,16451
460751.86,5262527.23,0.78,28347,3,3,0,20046,19789,21331,19740
460752.31,5262524.92,0,30811,2,2,2,14135,13621,17476,20893
460752.38,5262524.54,0.07,31712,2,2,0,18504,18247,20303,12401
460752.52,5262523.8,0,31918,1,1,2,21074,19789,21074,25360
460752.92,5262521.76,0.08,31761,1,1,0,16448,15934,20560,9777
460752.99,5262521.39,0,31895,1,1,2,26214,24929,24415,13574
460753.05,5262521.06,0.18,31810,1,1,0,26214,24929,24158,21857
460751.19,5262529.98,24.94,28098,1,2,0,29812,29041,28784,25630
460753.29,5262519.79,0.29,31895,2,2,0,33153,30583,30583,26143
460753.44,5262519.02,0.11,30988,2,2,0,37779,35466,34181,24806
460751.62,5262527.84,22.51,28766,2,3,0,32639,30326,30583,24175
460753.64,5262517.98,0.21,29376,2,2,0,25957,24929,25443,24020
460753.73,5262517.56,0.34,29992,3,3,0,29041,27756,28013,24749
460751.57,5262527.92,27.03,30208,2,3,0,31868,29298,29041,27224
460751.19,5262529.77,31.46,28471,1,3,0,30840,28784,28270,26924
460753.89,5262516.72,0,30709,3,3,2,20303,20046,22359,23982
460751.09,5262530.23,33.74,29149,2,4,0,32639,30583,29812,30783
460753.95,5262516.39,0.32,29651,4,4,0,25186,24672,25186,26082
460751.2,5262529.68,33.04,29670,3,4,0,31354,29555,30840,28817
460754.03,5262515.98,0,28438,4,4,2,29298,28270,28527,26840
460751.3,5262529.2,32.96,27924,2,2,0,24158,21845,23130,24156
460751.29,5262529.14,35.46,27780,4,4,0,31097,29555,29298,22005
460751.03,5262530.39,38.34,28452,3,4,0,31354,28784,29041,32099
460752.74,5262522.12,19.39,28488,2,3,0,33410,31868,31097,28030
460751.14,5262529.86,37.73,29186,1,3,0,32896,30840,30326,26688
460754.49,5262513.6,0.12,28366,4,4,0,29298,26985,27242,24492
460752.84,5262521.61,19.12,28927,3,4,0,29555,28013,28013,31027
460751.43,5262528.4,35.24,29009,2,4,0,30326,28013,28270,30990
460751.24,5262529.32,38.53,28258,2,2,0,27242,25700,26214,27891
460751.77,5262526.71,32.63,28976,3,4,0,23387,21845,22359,18254
460751.04,5262530.27,41.74,28016,1,4,0,23130,21331,21845,15822
460754.7,5262512.53,0.75,30159,4,4,0,21331,18761,21588,14425
460751.32,5262528.9,39.24,28982,2,4,0,22873,21588,23130,25437
460754.7,5262512.47,2.43,28032,3,4,0,23387,21074,23644,12157
460751.77,5262526.68,35.13,27632,2,4,0,33153,31097,30326,14730
460751.26,5262529.11,41.58,30467,1,4,0,26985,25443,25443,23137
460754.68,5262512.54,3.39,29074,2,3,0,16962,16191,19789,13208
460755.07,5262510.62,0,31430,2,2,2,29041,26728,26728,15904
460752.12,5262524.88,33.62,27613,1,2,0,25186,23644,24672,18227
460755.23,5262509.82,0,32174,1,1,2,34952,31354,30583,18809
460755.36,5262509.13,0.05,31512,1,1,0,19532,18761,22616,15088
460751.62,5262527.21,42.36,30188,1,2,0,28527,27499,27499,19979
460755.52,5262508.31,0,31774,2,2,2,17476,16705,20303,10861
460751.7,5262526.82,42.39,28478,1,2,0,19789,19275,20560,24111
460755.66,5262507.57,0,31315,2,2,2,32639,30326,31097,15767
460755.74,5262507.19,0,31820,1,1,2,42662,38036,35980,20559
460755.81,5262506.79,0,30683,1,1,2,37265,32382,31354,13696
460755.89,5262506.41,0,30611,2,2,2,28784,23901,27242,10521
460752.64,5262522.14,35.84,30378,1,2,0,18504,18247,21331,17569
460755.97,5262505.99,0,31715,2,2,2,14906,12079,16191,15179
460752.92,5262520.71,34.43,28969,1,2,0,15163,15420,17219,14747
460752.91,5262520.72,37.14,28517,1,3,0,14135,13364,15163,20527
460753.19,5262519.34,33.25,28370,2,3,0,19532,18761,21074,25392
460756.27,5262504.44,0.25,31312,3,3,0,32639,30069,29812,21645
460753.28,5262518.9,33.26,28415,2,3,0,31868,30326,32125,17704
460756.34,5262504.06,0,30470,3,3,2,42405,38550,37522,24983
460756.42,5262503.66,0.21,30516,3,3,0,25957,22873,25957,16985
460754.09,5262514.87,26.56,29002,1,1,0,11822,13107,17990,11899
460753.14,5262519.45,37.74,30608,1,2,0,26985,24672,25443,19735
460756.64,5262502.52,0.53,28071,2,2,0,15163,15934,20046,13246
460756.73,5262502.07,0.19,29625,2,2,0,12850,13621,20046,9778
460754.46,5262513.01,25.31,28547,1,2,0,13107,13878,18247,12282
460753.01,5262520.03,42.76,28406,1,5,0,31354,28784,28270,30891
460754.74,5262511.64,24.13,29572,4,5,0,20560,19789,21845,20987
460756.98,5262500.77,0,30044,5,5,2,13621,14906,20046,10080
460753.48,5262517.7,37.47,28769,2,5,0,28270,26728,27499,23709
460754.63,5262512.16,25.02,28976,3,5,0,23130,21845,23644,24336
460757.02,5262500.56,0.3,30283,3,3,0,12850,13621,19275,10275
460753.08,5262519.64,42.84,30149,1,3,0,35466,32896,32639,26758
460754.79,5262511.36,24.65,28442,2,3,0,14906,14906,18504,16680
460754.84,5262511.08,24.75,29241,2,3,0,21074,21588,22359,20348
460753.29,5262518.62,41.39,29785,1,3,0,30583,29555,28784,29531
460754.47,5262512.85,30.01,29166,2,4,0,20560,19789,22102,23484
460757.39,5262498.66,0,28468,2,2,2,12336,13107,19275,8405
460753.37,5262518.13,42.72,31037,1,2,0,35209,32382,31097,33057
460753.47,5262517.65,42.53,29844,1,3,0,27242,25700,25957,29843
460754.59,5262512.19,30.28,28956,2,3,0,23130,22102,21845,24122
460753.68,5262516.57,40.99,28409,2,3,0,31097,28784,27499,24347
460753.53,5262517.31,42.54,28868,1,3,0,27242,25700,25700,26710
460757.51,5262498.02,0,30729,3,3,2,19532,19018,22616,8767
460753.75,5262516.21,41.69,30555,1,2,0,22873,20303,21588,28462
460754.47,5262512.7,35,30532,2,3,0,30840,28270,28270,30727
460753.85,5262515.69,41.63,29444,1,3,0,23130,21845,23387,23872
460757.75,5262496.8,0,28343,3,3,2,13364,12850,18504,10323
460754.04,5262514.73,40.15,28628,2,3,0,35209,32639,30583,22145
460755.06,5262509.76,31.21,30391,2,2,0,23130,22616,24929,16494
460755.64,5262506.89,26.36,28530,2,3,0,24158,24158,26214,22760
460758.05,5262495.24,0,28753,3,3,2,33924,31868,31097,14226
460755.35,5262508.3,30.4,30090,1,2,0,14649,14906,18247,14872
460755.39,5262508.03,31.4,30844,2,3,0,15420,16191,20046,17148
460753.93,5262515.13,46.59,27747,1,3,0,28270,27242,26985,25701
460758.24,5262494.22,0.02,28704,3,3,0,14135,14649,20303,12418
460754.52,5262512.25,41.27,29228,2,3,0,25443,25957,25700,23021
460754.01,5262514.73,46.68,27750,1,3,0,21845,21331,21588,27303
460754.62,5262511.69,42.08,31007,1,1,0,22102,20817,22616,21848
460754.68,5262511.38,42.33,30808,1,1,0,24158,22359,24415,20363
460754.31,5262513.17,46.78,28275,1,2,0,20817,20560,21845,28074
460756.54,5262502.3,24.77,28504,2,4,0,13621,14649,17733,14383
